"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 6.207","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
