"SPQ050.Code.or.Value","SPQ050.Value.Description","SPQ050.Count","SPQ050.Cumulative","SPQ050.Skip.to.Item"
"1","Yes",41,41,"SPAENA"
"2","No",1070,1111,""
"7","Refused",0,1111,"SPAENA"
"9","Don't know",1,1112,"SPAENA"
".","Missing",6631,7743,""
