"OHD11LAS.Code.or.Value","OHD11LAS.Value.Description","OHD11LAS.Count","OHD11LAS.Cumulative","OHD11LAS.Skip.to.Item"
"0 to 14","Range of Values",2554,2554,NA
"99","Calculation cannot be determined",233,2787,NA
".","Missing",4343,7130,NA
