"MCQ260EA.Code.or.Value","MCQ260EA.Value.Description","MCQ260EA.Count","MCQ260EA.Cumulative","MCQ260EA.Skip.to.Item"
"1","Mother",322,322,"MCQ250F"
"77","Refused",0,322,"MCQ250F"
"99","Don't know",1,323,"MCQ250F"
".","Missing",10147,10470,""
