"MCQ117Q.Code.or.Value","MCQ117Q.Value.Description","MCQ117Q.Count","MCQ117Q.Cumulative","MCQ117Q.Skip.to.Item"
"1 to 18","Range of Values",430,430,""
"77777","Refused",0,430,"MCQ120A"
"99999","Don't know",11,441,"MCQ120A"
".","Missing",9204,9645,""
