"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 1.585","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
