"DS2IVB6.Code.or.Value","DS2IVB6.Value.Description","DS2IVB6.Count","DS2IVB6.Cumulative","DS2IVB6.Skip.to.Item"
"0.012 to 200","Range of Values",1587,1587,NA
".","Missing",4011,5598,NA
