"DXXLRBMD.Code.or.Value","DXXLRBMD.Value.Description","DXXLRBMD.Count","DXXLRBMD.Cumulative","DXXLRBMD.Skip.to.Item"
"0.336 to 0.983","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
