"LBXALDLA.Code.or.Value","LBXALDLA.Value.Description","LBXALDLA.Count","LBXALDLA.Cumulative","LBXALDLA.Skip.to.Item"
"0.4 to 8.5","Range of Values",2275,2275,NA
".","Missing",272,2547,NA
