"WTIREP28.Code.or.Value","WTIREP28.Value.Description","WTIREP28.Count","WTIREP28.Cumulative","WTIREP28.Skip.to.Item"
"0 to 241459.37563","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
