"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"30 to 105","Range of Values",10,10,NA
"666","No response",1,11,NA
"888","Could not obtain",0,11,NA
".","Missing",1796,1807,NA
