"WBXA053.Code.or.Value","WBXA053.Value.Description","WBXA053.Count","WBXA053.Cumulative","WBXA053.Skip.to.Item"
"-14.2091 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
