"LBDTHGSI.Code.or.Value","LBDTHGSI.Value.Description","LBDTHGSI.Count","LBDTHGSI.Cumulative","LBDTHGSI.Skip.to.Item"
"1 to 180.9","Range of Values",4988,4988,NA
".","Missing",827,5815,NA
