"DR1IATOC.Code.or.Value","DR1IATOC.Value.Description","DR1IATOC.Count","DR1IATOC.Cumulative","DR1IATOC.Skip.to.Item"
"0 to 110.72","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
