"DCD070A.Code.or.Value","DCD070A.Value.Description","DCD070A.Count","DCD070A.Cumulative","DCD070A.Skip.to.Item"
"1","Yes",794,794,NA
"2","No",195,989,NA
".","Missing",96,1085,NA
