"SSDCP.Code.or.Value","SSDCP.Value.Description","SSDCP.Count","SSDCP.Cumulative","SSDCP.Skip.to.Item"
"0.354 to 1.63","Range of Values",2049,2049,NA
".","Missing",5,2054,NA
