"OCD150.Code.or.Value","OCD150.Value.Description","OCD150.Count","OCD150.Cumulative","OCD150.Skip.to.Item"
"1","Working at a job or business,",3141,3141,"OCQ180"
"2","With a job or business but not at work,",122,3263,"OCQ210"
"3","Looking for work, or",271,3534,"OCD390G"
"4","Not working at a job or business?",2625,6159,"OCQ380"
"7","Refused",0,6159,"OCD390G"
"9","Don't know",2,6161,"OCD390G"
".","Missing",0,6161,""
