"LBCF01LA.Code.or.Value","LBCF01LA.Value.Description","LBCF01LA.Count","LBCF01LA.Cumulative","LBCF01LA.Skip.to.Item"
"0.075 to 1.25","Range of Values",246,246,NA
".","Missing",18,264,NA
