"DR2IVK.Code.or.Value","DR2IVK.Value.Description","DR2IVK.Count","DR2IVK.Cumulative","DR2IVK.Skip.to.Item"
"0 to 2323.6","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
