"DR1IVB12.Code.or.Value","DR1IVB12.Value.Description","DR1IVB12.Count","DR1IVB12.Cumulative","DR1IVB12.Skip.to.Item"
"0 to 170.93","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
