"DXDHELE.Code.or.Value","DXDHELE.Value.Description","DXDHELE.Count","DXDHELE.Cumulative","DXDHELE.Skip.to.Item"
"1814 to 5063.7","Range of Values",4979,4979,NA
".","Missing",801,5780,NA
