"LBXVBM.Code.or.Value","LBXVBM.Value.Description","LBXVBM.Count","LBXVBM.Cumulative","LBXVBM.Skip.to.Item"
"0.1499 to 85.9","Range of Values",785,785,NA
".","Missing",664,1449,NA
