"WTIREP30.Code.or.Value","WTIREP30.Value.Description","WTIREP30.Count","WTIREP30.Cumulative","WTIREP30.Skip.to.Item"
"0 to 238268.46066","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
