"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"4 to 10","Range of Values",3436,3436,NA
"3","3 pounds or less",80,3516,NA
"11","11 pounds or more",10,3526,NA
"7777","Refused",2,3528,NA
"9999","Don't know",116,3644,NA
".","Missing",0,3644,NA
