"DR2IFDCD.Code.or.Value","DR2IFDCD.Value.Description","DR2IFDCD.Count","DR2IFDCD.Cumulative","DR2IFDCD.Skip.to.Item"
"11000000 to 95342000","Range of Values",93500,93500,NA
".","Missing",0,93500,NA
