"WBXP036.Code.or.Value","WBXP036.Value.Description","WBXP036.Count","WBXP036.Cumulative","WBXP036.Skip.to.Item"
"-54.5466 to 154.2961","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
