"SSCamIgG.Code.or.Value","SSCamIgG.Value.Description","SSCamIgG.Count","SSCamIgG.Cumulative","SSCamIgG.Skip.to.Item"
"0 to 3.632","Range of Values",1112,1112,NA
".","Missing",15,1127,NA
