"URDAMCLC.Code.or.Value","URDAMCLC.Value.Description","URDAMCLC.Count","URDAMCLC.Cumulative","URDAMCLC.Skip.to.Item"
"0","At or above the detection limit",2638,2638,NA
"1","Below lower detection limit",17,2655,NA
".","Missing",324,2979,NA
