"PAQ759j.Code.or.Value","PAQ759j.Value.Description","PAQ759j.Count","PAQ759j.Cumulative","PAQ759j.Skip.to.Item"
"10","SOCCER",219,219,NA
".","Missing",9265,9484,NA
