"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0 to 3.5","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
