"DSQTCHL.Code.or.Value","DSQTCHL.Value.Description","DSQTCHL.Count","DSQTCHL.Cumulative","DSQTCHL.Skip.to.Item"
"0.001 to 500","Range of Values",762,762,NA
".","Missing",9413,10175,NA
