"BIXS1M.Code.or.Value","BIXS1M.Value.Description","BIXS1M.Count","BIXS1M.Cumulative","BIXS1M.Skip.to.Item"
"89.34 to 807.92","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
