"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 21900","Range of Values",11860,11860,NA
"77777","Refused",1,11861,NA
"99999","Don't know",174,12035,NA
".","Missing",6366,18401,NA
