"LBXVTO.Code.or.Value","LBXVTO.Value.Description","LBXVTO.Count","LBXVTO.Cumulative","LBXVTO.Skip.to.Item"
"0.0231 to 10.2","Range of Values",304,304,NA
".","Missing",547,851,NA
