"URDP17LC.Code.or.Value","URDP17LC.Value.Description","URDP17LC.Count","URDP17LC.Cumulative","URDP17LC.Skip.to.Item"
"0","At or above the detection limit",2504,2504,NA
"1","Below lower detection limit",0,2504,NA
".","Missing",193,2697,NA
