"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"15 to 100","Range of Values",44,44,NA
"666","No response",3,47,NA
"888","Could not obtain",0,47,NA
".","Missing",4535,4582,NA
