"WTSCI44.Code.or.Value","WTSCI44.Value.Description","WTSCI44.Count","WTSCI44.Cumulative","WTSCI44.Skip.to.Item"
"0 to 465704.35689","Range of Values",727,727,NA
".","Missing",51,778,NA
