"DXXPEA.Code.or.Value","DXXPEA.Value.Description","DXXPEA.Count","DXXPEA.Cumulative","DXXPEA.Skip.to.Item"
"67.09 to 360.66","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
