"DCQ250.Code.or.Value","DCQ250.Value.Description","DCQ250.Count","DCQ250.Cumulative","DCQ250.Skip.to.Item"
"1","Smooth and Cleanable",851,851,NA
"2","Not Smooth and Cleanable",84,935,NA
".","Missing",395,1330,NA
