"DSQIVB1.Code.or.Value","DSQIVB1.Value.Description","DSQIVB1.Count","DSQIVB1.Cumulative","DSQIVB1.Skip.to.Item"
"0.003 to 1500","Range of Values",2090,2090,NA
".","Missing",7027,9117,NA
