"DRD350I.Code.or.Value","DRD350I.Value.Description","DRD350I.Count","DRD350I.Cumulative","DRD350I.Skip.to.Item"
"1","Yes",195,195,""
"2","No",3110,3305,"DRD350J"
".","Missing",5399,8704,""
