"LBCBR66L.Code.or.Value","LBCBR66L.Value.Description","LBCBR66L.Count","LBCBR66L.Cumulative","LBCBR66L.Skip.to.Item"
"0.2 to 0.6","Range of Values",247,247,NA
".","Missing",0,247,NA
