"MCQ160D.Code.or.Value","MCQ160D.Value.Description","MCQ160D.Count","MCQ160D.Cumulative","MCQ160D.Skip.to.Item"
"1","Yes",180,180,"MCQ180D"
"2","No",4674,4854,""
"7","Refused",1,4855,""
"9","Don't know",25,4880,""
".","Missing",4613,9493,""
