"URXOXY.Code.or.Value","URXOXY.Value.Description","URXOXY.Count","URXOXY.Cumulative","URXOXY.Skip.to.Item"
"0.07 to 14.37","Range of Values",2588,2588,NA
".","Missing",106,2694,NA
