"DS2TVK.Code.or.Value","DS2TVK.Value.Description","DS2TVK.Count","DS2TVK.Cumulative","DS2TVK.Skip.to.Item"
"0.8 to 800","Range of Values",1117,1117,NA
".","Missing",9136,10253,NA
