"RFXC046.Code.or.Value","RFXC046.Value.Description","RFXC046.Count","RFXC046.Cumulative","RFXC046.Skip.to.Item"
"-7.326 to 3.925","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
