"PAQ625.Code.or.Value","PAQ625.Value.Description","PAQ625.Count","PAQ625.Cumulative","PAQ625.Skip.to.Item"
"1 to 7","Range of Values",2303,2303,""
"77","Refused",1,2304,"PAQ635"
"99","Don't know",3,2307,"PAQ635"
".","Missing",7177,9484,""
