"VTQ230B.Code.or.Value","VTQ230B.Value.Description","VTQ230B.Count","VTQ230B.Cumulative","VTQ230B.Skip.to.Item"
"1","Yes",281,281,NA
"2","No",2817,3098,NA
"7","Refused",0,3098,NA
"9","Don't know",20,3118,NA
".","Missing",297,3415,NA
