"OHASCST3.Code.or.Value","OHASCST3.Value.Description","OHASCST3.Count","OHASCST3.Cumulative","OHASCST3.Skip.to.Item"
"1","Complete",8371,8371,NA
"2","Partial",637,9008,NA
"3","Not done",590,9598,NA
".","Missing",0,9598,NA
