"PFQ061O.Code.or.Value","PFQ061O.Value.Description","PFQ061O.Count","PFQ061O.Cumulative","PFQ061O.Skip.to.Item"
"1","No difficulty",1945,1945,NA
"2","Some difficulty",489,2434,NA
"3","Much difficulty",146,2580,NA
"4","Unable to do",61,2641,NA
"5","Do not do this activity",10,2651,NA
"7","Refused",0,2651,NA
"9","Don't know",0,2651,NA
".","Missing",6340,8991,NA
