"WBXA062.Code.or.Value","WBXA062.Value.Description","WBXA062.Count","WBXA062.Cumulative","WBXA062.Skip.to.Item"
"-2.0267 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
