"URDCPMLC.Code.or.Value","URDCPMLC.Value.Description","URDCPMLC.Count","URDCPMLC.Cumulative","URDCPMLC.Skip.to.Item"
"0","detectable result",1856,1856,NA
"1","below detectable limit",138,1994,NA
".","Missing",131,2125,NA
