"WTSPO35.Code.or.Value","WTSPO35.Value.Description","WTSPO35.Count","WTSPO35.Cumulative","WTSPO35.Skip.to.Item"
"0.0000000 to 869287.4415500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
