"DXXL3TBS.Code.or.Value","DXXL3TBS.Value.Description","DXXL3TBS.Count","DXXL3TBS.Cumulative","DXXL3TBS.Skip.to.Item"
"0.812 to 1.761","Range of Values",3554,3554,NA
".","Missing",4166,7720,NA
