"LBDVD2LC.Code.or.Value","LBDVD2LC.Value.Description","LBDVD2LC.Count","LBDVD2LC.Cumulative","LBDVD2LC.Skip.to.Item"
"0","At or above the detection limit",1219,1219,NA
"1","Below lower detection limit",6190,7409,NA
".","Missing",957,8366,NA
