"RHQ560U.Code.or.Value","RHQ560U.Value.Description","RHQ560U.Count","RHQ560U.Cumulative","RHQ560U.Skip.to.Item"
"1","Months",46,46,NA
"2","Years",199,245,NA
"7","Refused",0,245,NA
"9","Don't know",0,245,NA
".","Missing",3053,3298,NA
