"LBDPCBLC.Code.or.Value","LBDPCBLC.Value.Description","LBDPCBLC.Count","LBDPCBLC.Cumulative","LBDPCBLC.Skip.to.Item"
"0","At or above the detection limit",292,292,NA
"1","Below lower detection limit",2,294,NA
".","Missing",7,301,NA
