"AUXR5CL.Code.or.Value","AUXR5CL.Value.Description","AUXR5CL.Count","AUXR5CL.Cumulative","AUXR5CL.Skip.to.Item"
"50 to 90","Range of Values",12,12,NA
"666","No response",0,12,NA
"888","Could not obtain",0,12,NA
".","Missing",1877,1889,NA
