"CSQ200.Code.or.Value","CSQ200.Value.Description","CSQ200.Count","CSQ200.Cumulative","CSQ200.Skip.to.Item"
"1","Yes",223,223,NA
"2","No",3377,3600,NA
"7","Refused",1,3601,NA
"9","Don't know",2,3603,NA
".","Missing",0,3603,NA
