"DRD370P.Code.or.Value","DRD370P.Value.Description","DRD370P.Count","DRD370P.Cumulative","DRD370P.Skip.to.Item"
"1","Yes",18,18,""
"2","No",5553,5571,"DRD370Q"
".","Missing",4379,9950,""
