"AUDTYL15.Code.or.Value","AUDTYL15.Value.Description","AUDTYL15.Count","AUDTYL15.Cumulative","AUDTYL15.Skip.to.Item"
"0 to 2","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
