"WBXP053.Code.or.Value","WBXP053.Value.Description","WBXP053.Count","WBXP053.Cumulative","WBXP053.Skip.to.Item"
"-176.514 to 163.6738","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
