"URDMU4LC.Code.or.Value","URDMU4LC.Value.Description","URDMU4LC.Count","URDMU4LC.Cumulative","URDMU4LC.Skip.to.Item"
"0","At or above the detection limit",2628,2628,NA
"1","Below lower detection limit",86,2714,NA
".","Missing",117,2831,NA
