"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"5 to 85","Range of Values",6,6,NA
"666","No response",0,6,NA
"888","Could not obtain",0,6,NA
".","Missing",2362,2368,NA
